,Date_initial_tag,Transect,Transect_num,Current_tag_num,Species,Meter,Meters_90,Direction,MaxDiameter,Height,PercentMortality,Notes,092022_Condition,092022_Percentage,102023_Condition,102023_Percentage,
1,9/10/22,STRI Reef,1,1,SSID,30.6,0.7,R,30,25,2,NA,Healthy,NA,Healthy,NA,
2,9/10/22,STRI Reef,1,2,MCAV,28.7,4.4,L,18,25,0,paling,Healthy,NA,CLP,5%,
3,9/10/22,STRI Reef,1,3,SSID,30,1,L,35,17,10,NA,Healthy,NA,CLP,70%,
4,9/10/22,STRI Reef,1,4,ORBI,24.7,6.8,L,130,68,35,frannularis,Healthy,NA,CLP,1%,
5,9/10/22,STRI Reef,1,5,CNAT,24.2,7.4,L,64,45,5,NA,Healthy,NA,CLP,50%,
6,9/10/22,STRI Reef,1,6,CNAT,24.4,15,L,210,70,40,TL from physical damage,Healthy,NA,CLP,95%,
7,9/10/22,STRI Reef,1,7,SSID,17.8,3.6,L,43,10,10,paling & sponge overgrowth,Healthy,NA,CLB ,90%,
8,9/10/22,STRI Reef,1,8,MCAV,16.7,0.8,L,14,28,0,NA,Healthy,NA,Healthy,NA,
9,9/10/22,STRI Reef,1,9,SSID,8.6,1.4,R,55,33,30,NA,Healthy,NA,CLP ,10%,
10,9/10/22,STRI Reef,1,10,SSID,1.6,0.6,R,45,30,15,NA,Healthy,NA,CLP ,5%,
11,9/10/22,STRI Reef,1,11,MCAV,7.3,5.6,L,25,18,0,paling,Healthy,NA,CLP ,95%,
12,9/10/22,STRI Reef,1,12,PAST,7.4,5.7,L,16,10,5,NA,Healthy,NA,Healthy,NA,
13,9/10/22,STRI Reef,1,13,PAST,9.5,6.4,L,14,9,2,NA,Healthy,NA,Healthy,NA,
14,9/10/22,STRI Reef,1,14,ORBI,21.3,9.5,L,120,85,40,frannularis,Healthy,NA,CLP,20%,
15,9/10/22,STRI Reef,1,15,ORBI,36,7.2,L,95,77,60,frannularis,Healthy,NA,CLP,20%,
16,9/10/22,STRI Reef,1,16,CNAT,32,10,L,95,30,10,could be a fragment of 2m nearby CNAT #6,Healthy,NA,CLP,100%,
17,9/10/22,STRI Reef,1,17,MCAV,27.3,7.7,L,17,19,1,minor paling,Healthy,NA,CLP,15%,
18,9/10/22,STRI Reef,1,18,SSID,27.1,8.5,L,35,17,5,NA,Healthy,NA,CLP,55%,
19,9/10/22,STRI Reef,1,19,SSID,25.8,0.7,L,39,25,20,NA,Healthy,NA,CLB;CLP,10;70,
20,9/10/22,STRI Reef,1,20,ORBI,26,0.7,L,68,50,75,NA,Healthy,NA,CLB ,10%,
21,9/10/22,STRI Reef,1,21,PAST,30.8,4.8,L,13,7,0,NA,Healthy,NA,Healthy,NA,
22,9/10/22,STRI Reef,1,22,PAST,30.5,5,L,16,10,2,NA,Healthy,NA,Healthy,NA,
23,9/10/22,STRI Reef,1,23,CNAT,57.8,1,L,60,40,10,NA,Healthy,NA,CLB,100%,
24,9/10/22,STRI Reef,1,24,CNAT,57.9,7,L,65,30,5,NA,Healthy,NA,CLP,70%,
25,9/10/22,STRI Reef,1,25,ORBI,55,7.8,L,24,25,10,NA,Healthy,NA,CLP,5%,Ask about bleaching vs paling here 
26,9/10/22,STRI Reef,1,26,CNAT,55,7.9,L,80,25,50,NA,Healthy,NA,CLP ,100%,
27,9/10/22,STRI Reef,1,27,MCAV,56.7,0.8,L,16,14,0,NA,Healthy,NA,CLP ,30%,
28,9/11/22,Juan Point Reef,2,31,ORBI,-1,5.6,R,70,35,20,small bleached spot,Healthy,NA,Healthy,NA,
29,9/11/22,Juan Point Reef,2,32,MCAV,0.5,3.1,R,57,40,20,NA,Healthy,NA,Healthy,NA,
30,9/11/22,Juan Point Reef,2,33,CNAT,2.3,4.5,R,40,16,10,NA,Healthy,NA,Healthy,NA,
31,9/11/22,Juan Point Reef,2,34,CNAT,4.1,5.5,L,35,8,5,NA,Healthy,NA,CLB ,60%,
32,9/11/22,Juan Point Reef,2,35,PAST,4.1,0.9,L,28,8,20,some old TL,Healthy,NA,Healthy,NA,
33,9/11/22,Juan Point Reef,2,36,MCAV,12,0.1,R,76,45,20,NA,Healthy,NA,Healthy,NA,
34,9/11/22,Juan Point Reef,2,37,SSID,13.2,0.2,L,45,15,30,minor DC/GA (~10%),Healthy,NA,CLB,2%,
35,9/11/22,Juan Point Reef,2,38,SSID,12.2,2.9,L,33,6,5,NA,Healthy,NA,Healthy,NA,
36,9/11/22,Juan Point Reef,2,39,CNAT,10.7,6.8,R,125,35,5,did not measure/count the dead adjacent ramet,Healthy,NA,Healthy,NA,
37,9/11/22,Juan Point Reef,2,40,MCAV,27.9,1.9,R,80,45,20,some old TL,Healthy,NA,Healthy,NA,
38,9/11/22,Juan Point Reef,2,41,SSID,27.8,2.1,R,27,6,2,NA,Healthy,NA,CLP,40%,
39,9/11/22,Juan Point Reef,2,42,MCAV,28.9,3.4,R,32,30,5,NA,Healthy,NA,Healthy,NA,
40,9/11/22,Juan Point Reef,2,43,ORBI,37,5.4,R,150,60,40,NA,Healthy,NA,Healthy,NA,
41,9/11/22,Juan Point Reef,2,44,CNAT,37.2,6,R,130,70,10,NA,Healthy,NA,CLP ,,
42,9/11/22,Juan Point Reef,2,45,ORBI,38.2,5.7,R,90,65,60,some OG (ERYT),Healthy,NA,Healthy,NA,
43,9/11/22,Juan Point Reef,2,46,PAST,37.4,2.9,R,23,7,0,NA,Healthy,NA,Healthy,NA,
44,9/11/22,Juan Point Reef,2,47,ORBI,40.5,0.3,R,55,20,10,didn't measure old dead,Healthy,NA,Healthy,NA,
45,9/11/22,Juan Point Reef,2,48,ORBI,47,3.6,R,45,27,10,NA,Healthy,NA,Healthy,NA,
46,9/11/22,Juan Point Reef,2,49,MCAV,45.5,5,R,80,35,70,NA,Healthy,NA,Healthy,NA,
47,9/11/22,Juan Point Reef,2,50,CNAT,46,10.3,R,180,100,80,some damsel pred,Healthy,NA,CLP,80%,
48,9/11/22,Juan Point Reef,2,51,ORBI,47.3,9.7,R,115,40,15,some recent TL - competition?,Healthy,NA,Healthy,NA,
49,9/11/22,Juan Point Reef,2,52,MCAV,32.2,1.7,L,55,65,15,NA,Healthy,NA,Healthy,NA,
50,9/11/22,Juan Point Reef,2,53,PAST,31.4,4.3,R,14,4,5,NA,Healthy,NA,Healthy,NA,
51,9/11/22,Juan Point Reef,2,54,PAST,31.2,0.8,R,26,5,5,NA,Healthy,NA,Healthy,NA,
52,9/11/22,Juan Point Reef,2,55,SSID,25.7,3.5,R,40,8,10,NA,Healthy,NA,CLB,60%,
53,9/11/22,Juan Point Reef,2,56,MCAV,25,4.8,R,24,20,5,barnacles and icing sponge,Healthy,NA,Healthy,NA,
54,9/11/22,Juan Point Reef,2,57,CNAT,24.8,7,R,90,40,5,NA,Healthy,NA,CLB,90%,
55,9/11/22,Juan Point Reef,2,58,PAST,25,3.2,R,26,5,5,mucus sheathing,Healthy,NA,Healthy,NA,
56,9/11/22,Juan Point Reef,2,59,SSID,4.9,3.6,R,45,15,10,some DC,Healthy,NA, CLB,15%,
88,9/15/22,Crawl Cay,3,29,OFAV,-1,1.3,L,140,30,10,NA,Healthy,NA,Healthy,NA,
57,9/15/22,Crawl Cay,3,60,CNAT,4,0.7,R,160,65,10,NA,Healthy,NA,CLP,100%,
58,9/15/22,Crawl Cay,3,61,CNAT,3.9,0.3,R,85,35,0,NA,Healthy,NA,CLP,30%,
59,9/15/22,Crawl Cay,3,62,PSTR,3.4,0.1,R,40,25,30,NA,Healthy,NA,CLP,10%,
60,9/15/22,Crawl Cay,3,63,OANN,3.3,0.4,L,45,22,10,NA,Healthy,NA,Healthy,NA,
61,9/15/22,Crawl Cay,3,64,MCAV,3.3,0.8,L,40,30,0,NA,Healthy,NA,Healthy,NA,
62,9/15/22,Crawl Cay,3,65,MCAV,5.2,0.9,L,60,30,0,NA,Healthy,NA,Healthy,NA,
63,9/15/22,Crawl Cay,3,66,PSTR,5,0.5,L,45,5,5,NA,Healthy,NA,CLB,15%,
64,9/15/22,Crawl Cay,3,67,OFAV,7.3,1,L,105,45,20,NA,Healthy,NA,Healthy,NA,
65,9/15/22,Crawl Cay,3,68,CNAT,8.3,0.8,R,155,53,0,NA,Healthy,NA,CLB;CLP ,25;75%,
66,9/15/22,Crawl Cay,3,69,MCAV,9.4,2.9,R,40,38,0,NA,Healthy,NA,Healthy,NA,
67,9/15/22,Crawl Cay,3,70,OFAV,9,3.4,R,60,10,0,tag on CNAT,Healthy,NA,Healthy,NA,
68,9/15/22,Crawl Cay,3,71,CNAT,8.7,0.3,L,110,45,0,NA,Healthy,NA,Healthy,NA,
69,9/15/22,Crawl Cay,3,72,PSTR,15,2.1,L,70,50,10,NA,Healthy,NA,CLB ,50%,
70,9/15/22,Crawl Cay,3,73,PSTR,11.1,3.6,R,65,40,30,NA,Healthy,NA,CLB ,60%,
71,9/15/22,Crawl Cay,3,74,CNAT,19,0.1,R,110,70,5,tag loose,Healthy,NA,Healthy,NA,
72,9/15/22,Crawl Cay,3,75,CNAT,20,0.1,R,100,40,15,tag loose,Healthy,NA,CLB;CLP ,35;65,
73,9/15/22,Crawl Cay,3,76,CNAT,19.5,0.1,L,130,20,5,tag loose,Healthy,NA,CLP ,20%,
74,9/15/22,Crawl Cay,3,77,PSTR,20.1,3.6,R,20,5,0,NA,Healthy,NA,CLP ,20%,
75,9/15/22,Crawl Cay,3,78,MCAV,20.2,3.4,R,20,23,20,coral loose,Healthy,NA,Healthy,NA,
76,9/15/22,Crawl Cay,3,79,MMEA,13.5,4.3,R,12,5,0,NA,Healthy,NA,Healthy,NA,
77,9/15/22,Crawl Cay,3,80,MMEA,13.1,2.4,R,20,15,0,tag far from coral,Healthy,NA,Healthy,NA,
78,9/15/22,Crawl Cay,3,81,SSID,5.7,1.7,R,45,25,5,coral pitted with some CLB,Healthy,NA,CLB,85%,
79,9/15/22,Crawl Cay,3,82,MCAV,4.1,3,R,40,45,0,CLP 10%,Healthy,NA,CLP,10%,
80,9/15/22,Crawl Cay,3,83,MMEA,2.5,1.1,R,16,4,0,NA,Healthy,NA,Healthy,NA,
81,9/15/22,Crawl Cay,3,84,SSID,2.3,0,R,34,15,10,CLP ~70% D&OG,Healthy,NA,CLP,70%,
82,9/15/22,Crawl Cay,3,85,SSID,-1,5.6,L,38,14,5,CLP ~90%,Healthy,NA,CLP,90%,
83,9/15/22,Crawl Cay,3,86,PSTR,-1,6,L,80,30,2,NA,Healthy,NA,Healthy,NA,
84,9/15/22,Crawl Cay,3,87,PSTR,1,5.9,L,120,55,5,NA,Healthy,NA,CLP,60%,
85,9/15/22,Crawl Cay,3,88,SSID,2,4.4,L,60,15,10,CLP ~10%,Healthy,NA,CLP,90%,
86,9/15/22,Crawl Cay,3,89,SSID,1.5,5.9,L,38,22,10,CLP ~20%,Healthy,NA,CLB,40%,
87,9/15/22,Crawl Cay,3,90,MMEA,0,0.2,R,18,4,1,"TL from sedimentation -- moved coral to beginning of transect, might get brick dropped on it",Healthy,NA,Healthy,NA,
220,10/21/23,Crawl Cay,3,96,PSTR,9.8,3,R,24,4,0,Healthy,NA,NA,Healthy,NA,
221,10/21/23,Crawl Cay,3,97,PSTR,27.8,4.2,R,23,22,0,90% pale,NA,NA,CLP,90%,
222,10/21/23,Crawl Cay,3,98,PSTR,2.9,3.5,L,29,5,0,Healthy,NA,NA,Healthy,NA,
223,10/21/23,Crawl Cay,3,99,PSTR,6.9,0.6,L,10,15,0,Healthy,NA,NA,Healthy,NA,
224,10/21/23,Crawl Cay,3,100,PSTR,5.6,3,R,20,5,0,100% pale ,NA,NA,CLP,100%,
89,10/18/23,Rhino Reef,4,1,ORBI,0,0.2,L,37,66,0,"TRANSECT NOTE - BEGIN at 30-35 ft , continue along ROUGHLY 60 deg, getting shallower towards end , 50 meter is at 18 ft É..FML ",NA,NA,Healthy,NA,
90,10/18/23,Rhino Reef,4,2,CNAT,2.7,4.6,L,155,47,0,,NA,NA,Healthy,NA,
91,10/18/23,Rhino Reef,4,3,CNAT,3.3,7.5,L,147,60,0,,NA,NA,Healthy,NA,
92,10/18/23,Rhino Reef,4,4,ORBI,3.3,2.85,L,150,28,0,,NA,NA,Healthy,NA,
93,10/18/23,Rhino Reef,4,5,ORBI,7.6,2.2,L,90,35,0,,NA,NA,Healthy,NA,
94,10/18/23,Rhino Reef,4,6,MMEA,9.75,0,R,28,13,0,,NA,NA,Healthy,NA,
95,10/18/23,Rhino Reef,4,7,SSID,13.9,7.25,R,57,30,0,,NA,NA,Healthy,NA,
96,10/18/23,Rhino Reef,4,8,CNAT,15.2,3.9,R,70,18,0,,NA,NA,Healthy,NA,
97,10/18/23,Rhino Reef,4,9,SSID,18.7,1.15,R,55,25,0,,NA,NA,Healthy,NA,
98,10/18/23,Rhino Reef,4,10,ORBI,19.2,0.6,R,238,35,0,,NA,NA,Healthy,NA,
99,10/18/23,Rhino Reef,4,11,ORBI,17.3,0.5,L,90,15,0,,NA,NA,Healthy,NA,
100,10/18/23,Rhino Reef,4,12,CNAT,16.8,3.4,L,155,56,0,,NA,NA,Healthy,NA,
101,10/18/23,Rhino Reef,4,13,MMEA,14.3,8.3,L,35,18,0,,NA,NA,Healthy,NA,
102,10/18/23,Rhino Reef,4,14,ORBI,16,6.95,L,132,46,0,,NA,NA,Healthy,NA,
103,10/18/23,Rhino Reef,4,15,CNAT,24.2,0.8,L,33,23,0,,NA,NA,Healthy,NA,
104,10/18/23,Rhino Reef,4,16,SSID,26.1,1.8,L,38,25,0,,NA,NA,Healthy,NA,
105,10/18/23,Rhino Reef,4,17,SSID,31.2,11.15,L,40,27,0,,NA,NA,Healthy,NA,
106,10/18/23,Rhino Reef,4,18,PSTR,31,11.15,L,23,17,0,,NA,NA,Healthy,NA,
107,10/18/23,Rhino Reef,4,19,CNAT,35,5.75,L,71,35,0,,NA,NA,Healthy,NA,
108,10/18/23,Rhino Reef,4,20,PSTR,45.3,7.55,L,37,20,0,,NA,NA,Healthy,NA,
109,10/18/23,Rhino Reef,4,21,MMEA,39,9.4,L,26,10,0,,NA,NA,Healthy,NA,
110,10/18/23,Rhino Reef,4,22,PSTR,38.9,9.3,L,17,13,0,,NA,NA,Healthy,NA,
111,10/18/23,Rhino Reef,4,23,SSID,38.5,11,L,45,25,0,,NA,NA,Healthy,NA,
112,10/18/23,Rhino Reef,4,24,MMEA,36.7,15.6,L,40,13,0,Down slope at edge of reef ,NA,NA,Healthy,NA,
113,10/18/23,Rhino Reef,4,25,MMEA,54,14.3,L,30,21,0,Down slope at edge of reef ,NA,NA,Healthy,NA,
114,10/18/23,Rhino Reef,4,26,MMEA,52,14.3,L,20,12,0,Down slope at edge of reef ,NA,NA,Healthy,NA,
115,10/18/23,Rhino Reef,4,27,CNAT ,49,9.1,L,52,12,0,,NA,NA,Healthy,NA,
116,10/18/23,Rhino Reef,4,28,SSID ,10.5,10.8,L,20,15,0,,NA,NA,Healthy,NA,
117,10/18/23,Rhino Reef,4,29,MCAV,4.7,3,R,40,18,0,,NA,NA,Healthy,NA,
118,10/18/23,Rhino Reef,4,30,MCAV,3.75,0,L,40,30,0,,NA,NA,Healthy,NA,
119,10/18/23,Rhino Reef,4,31,PSTR,4,1.2,L,180,60,0,PALING ,NA,NA,CLP,,
120,10/18/23,Rhino Reef,4,32,PAST,4.2,3.7,L,38,15,0,,NA,NA,Healthy,NA,
121,10/18/23,Rhino Reef,4,33,MCAV,4.15,3.5,L,26,35,0,,NA,NA,Healthy,NA,
122,10/18/23,Rhino Reef,4,34,PAST,10.3,1.4,L,25,5,0,,NA,NA,Healthy,NA,
123,10/18/23,Rhino Reef,4,35,PSTR,18.1,3.7,L,65,20,0,,NA,NA,Healthy,NA,
124,10/18/23,Rhino Reef,4,36,MCAV,17.6,4.8,L,80,25,0,,NA,NA,Healthy,NA,
125,10/18/23,Rhino Reef,4,37,PSTR,15.6,6,L,90,60,0,,NA,NA,Healthy,NA,
126,10/18/23,Rhino Reef,4,38,PSTR,30.8,8.4,L,35,25,0,,NA,NA,Healthy,NA,
127,10/18/23,Rhino Reef,4,39,MCAV,10.5,12.3,L,64,32,0,,NA,NA,Healthy,NA,
128,10/18/23,Rhino Reef,4,40,PAST,22.1,0.65,L,23,4,0,,NA,NA,Healthy,NA,
129,10/18/23,Rhino Reef,4,41,PAST ,28.3,0.4,L,20,5,0,,NA,NA,Healthy,NA,
130,10/18/23,Rhino Reef,4,42,MCAV,30,10.3,L,60,27,0,NEAR REEF EDGE ,NA,NA,Healthy,NA,
131,10/18/23,Rhino Reef,4,43,MCAV ,35,10.15,L,70,50,0,ON REEF EDGE ,NA,NA,Healthy,NA,
132,10/18/23,Rhino Reef,4,44,MCAV ,35.2,9.2,L,50,43,0,,NA,NA,Healthy,NA,
133,10/18/23,Rhino Reef,4,45,PAST,30.2,4.3,L,28,13,0,,NA,NA,Healthy,NA,
134,10/18/23,Rhino Reef,4,46,PAST,24,1.3,L,18,5,0,,NA,NA,Healthy,NA,
135,10/18/23,Rhino Reef,4,47,PSTR,11.7,9.3,L,15,11,0,NEAR REEF EDGE ,NA,NA,Healthy,NA,
136,10/18/23,Rhino Reef,4,48,PSTR,24.5,5.3,L,45,17,0,,NA,NA,Healthy,NA,
163,10/19/23,Punta Caracol,5,41,DLAB,7,3.1,L,34,15,0,"40% BL margin, ",NA,NA,CLB,40%,
164,10/19/23,Punta Caracol,5,42,DLAB,6.1,0.45,L,25,10,0,"maybe pale , ok though ",NA,NA,CLP,,
165,10/19/23,Punta Caracol,5,43,MCAV,0,2.2,L,100,40,0,Red :)  ,NA,NA,Healthy ,NA,
166,10/19/23,Punta Caracol,5,44,DLAB,12.5,2.2,R,27,14,0,20% weird patchy bleaching halo ,NA,NA,CLP,20%,
167,10/19/23,Punta Caracol,5,45,DLAB,16.3,2.46,R,25,19,0,pale?,NA,NA,CLP,,
168,10/19/23,Punta Caracol,5,46,MCAV,16.3,5,R,20,11,0,some pale polyps ,NA,NA,some pale polyps,,
169,10/19/23,Punta Caracol,5,47,DLAB,19.7,4.1,L,30,20,0,healthy sponge on top ,NA,NA,Healthy,NA,
170,10/19/23,Punta Caracol,5,48,PSTR,25.3,0.22,L,26,26,0,90% BL 10% P,NA,NA,CLB;CLP,90;10,
171,10/19/23,Punta Caracol,5,49,MCAV,27.7,1,L,50,47,0,5% Pale,NA,NA,CLP,5%,
172,10/19/23,Punta Caracol,5,50,DLAB,28.8,0.16,R,20,16,0,Healthy ,NA,NA,Healthy,NA,
173,10/19/23,Punta Caracol,5,51,MCAV,30.2,1.62,L,36,28,0,Healthy ,NA,NA,Healthy,NA,
174,10/19/23,Punta Caracol,5,52,MCAV,35.4,1.1,R,60,64,0,Healthy ,NA,NA,healthy,NA,
175,10/19/23,Punta Caracol,5,53,DLAB,38.5,0.6,R,19,13,0,Healthy ,NA,NA,healthy,NA,
176,10/19/23,Punta Caracol,5,54,DLAB,39.4,0.33,R,24,18,0,"50% pale, weird pale halo",NA,NA,CLP,50%,
177,10/19/23,Punta Caracol,5,55,DLAB,41.6,3.5,L,29,16,0,70% BL ,NA,NA,CLB,70%,
178,10/19/23,Punta Caracol,5,56,CNAT,35.8,2.9,L,90,60,0,80% slight pale ,NA,NA,CLP,80%,
179,10/19/23,Punta Caracol,5,57,CNAT,32.3,2.43,L,18,5,0,Healthy ,NA,NA,Healthy,NA,
180,10/19/23,Punta Caracol,5,58,CNAT,31.5,3.6,L,44,20,0,Healthy ,NA,NA,Healthy,NA,
181,10/19/23,Punta Caracol,5,59,CNAT,32.3,1.6,R,31,10,0,Pale ,NA,NA,CLP,,
182,10/19/23,Punta Caracol,5,60,CNAT,35.7,4.3,L,35,26,0,Pale ,NA,NA,CLP,,
137,10/19/23,Punta Caracol,5,71,ORBI,20,1.9,R,90,55,0,Healthy / frannularis ,NA,NA,Healthy ,NA,
138,10/19/23,Punta Caracol,5,72,ORBI,21,3.1,R,95,85,0,BL/frannularis ,NA,NA,CLB,,
139,10/19/23,Punta Caracol,5,73,CNAT,20.2,0.85,R,45,28,0,BL,NA,NA,CLB,,
140,10/19/23,Punta Caracol,5,74,PAST,28.5,2.9,R,20,15,0,SLIGHTLY PALE ,NA,NA,CLP,,
141,10/19/23,Punta Caracol,5,75,PAST ,38.2,0.5,R,23,18,0,Healthy ,NA,NA,Healthy ,NA,
142,10/19/23,Punta Caracol,5,76,CNAT,37,2.1,L,95,50,0,BL,NA,NA,CLB,,
143,10/19/23,Punta Caracol,5,77,CNAT,45,0.2,R,85,65,0,BL,NA,NA,CLB,,
144,10/19/23,Punta Caracol,5,78,PAST,47.7,0.78,L,15,8,0,Healthy ,NA,NA,Healthy ,NA,
145,10/19/23,Punta Caracol,5,79,PAST,45.3,4.2,L,20,10,0,Healthy ,NA,NA,Healthy ,NA,
146,10/19/23,Punta Caracol,5,80,ORBI,45,3.6,L,55,70,0,BL,NA,NA,CLB,,
147,10/19/23,Punta Caracol,5,81,SSID,39,2.8,L,17,7,0,BL,NA,NA,CLB,,
148,10/19/23,Punta Caracol,5,82,PAST,37,7.1,L,20,20,0,Healthy ,NA,NA,Healthy,NA,
149,10/19/23,Punta Caracol,5,83,SSID,37,7,L,34,24,0,BLEACHED/ PALING  ,NA,NA,CLB,,
150,10/19/23,Punta Caracol,5,84,ORBI,26.6,1.8,L,90,95,0,Healthy /fave,NA,NA,Healthy,NA,
151,10/19/23,Punta Caracol,5,85,SSID,24.3,2.9,L,50,40,0,BL,NA,NA,CLB,,
152,10/19/23,Punta Caracol,5,86,SSID,15.3,2.15,R,38,37,0,BL,NA,NA,CLB,,
153,10/19/23,Punta Caracol,5,87,ORBI,10.4,0,L,55,100,0,BL,NA,NA,CLB,,
154,10/19/23,Punta Caracol,5,88,SSID,2.4,0.6,R,35,17,0,PALING ,NA,NA,CLP,,
155,10/19/23,Punta Caracol,5,89,CNAT,1,1.3,R,55,30,0,BL,NA,NA,CLB,,
156,10/19/23,Punta Caracol,5,90,CNAT,5,1,L,55,30,0,BL,NA,NA,CLB,,
157,10/19/23,Punta Caracol,5,91,CNAT,5.5,1.5,R,90,70,0,BL,NA,NA,CLB,,
158,10/19/23,Punta Caracol,5,92,ORBI,26.2,2.5,L,50,85,0,Healthy / fave,NA,NA,Healthy,NA,
160,10/19/23,Punta Caracol,5,93,ORBI,43.2,2.6,L,75,65,0,BL,NA,NA,CLB,,
159,10/19/23,Punta Caracol,5,94,ORBI,35.3,2.5,L,75,70,0,BL,NA,NA,CLB,,
161,10/19/23,Punta Caracol,5,95,ORBI,25.8,1.8,L,100,75,0,Healthy ,NA,NA,Healthy,NA,
162,10/19/23,Punta Caracol,5,96,ORBI,27.4,3.9,L,100,80,0,PALING ,NA,NA,Healthy,NA,
183,10/21/23,CK14,6,26,CNAT,47.9,2.4,L,0.9,0.35,0,TL from predation 2%,NA,NA,NA,NA,
184,10/21/23,CK14,6,27,CNAT,45.4,0.9,L,0.75,0.65,0,CLP 4%,NA,NA,CLP,4%,
185,10/21/23,CK14,6,28,ORBI,38.55,0.3,L,0.45,0.2,0,TL from predation 1%,NA,NA,NA,NA,
186,10/21/23,CK14,6,29,CNAT,28.85,0.5,R,0.4,0.45,0,Slight paling,NA,NA,CLP,,
187,10/21/23,CK14,6,30,MCAV,11.5,1.1,L,0.3,0.1,0,Healthy,NA,NA,Healthy,NA,
188,10/21/23,CK14,6,31,PAST,3.1,0.95,L,0.25,0.1,0,5% competition with Millepora,NA,NA,,,
189,10/21/23,CK14,6,32,PSTR,14.35,0.5,L,0.55,0.2,0,CLB 20%,NA,NA,CLB ,20%,
190,10/21/23,CK14,6,33,CNAT,14.35,0.6,L,0.5,0.55,0,CLP 100%,NA,NA,CLP ,100%,
208,10/24/23,CK14,6,34,PAST,2.4,0.9,R,15,10,0,10% damselfish predation,NA,NA,,,
209,10/24/23,CK14,6,35,PSTR,9.7,4.3,L,40,5,0,CLB 90%,NA,NA,CLP ,90%,
210,10/24/23,CK14,6,36,PSTR,11.8,2.4,L,35,25,0,CLB 80%,NA,NA,CLP ,80%,
211,10/24/23,CK14,6,37,CNAT,16,1.9,R,40,38,0,CLP 90%,NA,NA,CLP ,90%,
212,10/24/23,CK14,6,38,PAST,19.95,1.4,R,17,20,0,CLP,NA,NA,CLP,,
213,10/24/23,CK14,6,39,OFAV,13.55,6,R,35,40,0,Healthy,NA,NA,Healthy,NA,
214,10/24/23,CK14,6,40,PAST,26.9,1.65,R,20,15,0,Healthy,NA,NA,Healthy,NA,
191,10/21/23,CK14,6,69,PSTR,-0.5,1,L,25,13,0,Healthy,NA,NA,Healthy,NA,
192,10/21/23,CK14,6,70,SSID,-0.7,1.8,L,37,25,0,Healthy,NA,NA,Healthy,NA,
193,10/21/23,CK14,6,71,SSID,0,5.5,R,24,15,0,CLP 10%,NA,NA,CLP ,10%,
194,10/21/23,CK14,6,72,MCAV,9.4,1.7,R,15,28,0,CLP 20%,NA,NA,CLP ,20%,
195,10/21/23,CK14,6,73,MCAV,11.6,2.4,R,24,14,0,Healthy,NA,NA,Healthy,NA,
196,10/21/23,CK14,6,74,MCAV,13.3,0,R,35,55,0,CLP 10%,NA,NA,CLP ,10%,
197,10/21/23,CK14,6,75,PSTR,13.2,0.2,R,33,60,0,CLP 100%,NA,NA,CLP ,100%,
198,10/21/23,CK14,6,76,PSTR,13,4.3,L,27,5,0,CLP 100%,NA,NA,CLP ,100%,
199,10/21/23,CK14,6,77,MCAV,12.4,3.6,L,25,17,0,CLP 100%,NA,NA,CLP ,100%,
200,10/21/23,CK14,6,78,SSID,10.6,3.8,L,25,16,0,CLB 90%,NA,NA,CLB,5%,
201,10/21/23,CK14,6,79,MCAV,10.2,3.9,L,25,6,0,Healthy,NA,NA,Healthy,NA,
202,10/21/23,CK14,6,80,MMEA,31.5,1,L,40,18,0,CLP 45%,NA,NA,CLP,45%,
203,10/21/23,CK14,6,81,PSTR,0.5,6.3,L,47,18,0,CLP 20%,NA,NA,CLP,20%,
204,10/21/23,CK14,6,82,SSID,0.3,6.6,L,21,16,0,CLP 2%,NA,NA,CLP,2%,
205,10/21/23,CK14,6,83,MCAV,1.8,7.4,L,23,22,0,Healthy,NA,NA,Healthy,NA,
206,10/21/23,CK14,6,84,SSID,1.2,3.4,L,29,15,0,CLP 2%,NA,NA,CLP ,2%,
207,10/21/23,CK14,6,85,PSTR,-0.7,2.2,R,38,5,0,CLB 5%,NA,NA,CLB ,5%,
215,10/24/23,CK14,6,86,PSTR,31.05,0.35,L,30,25,0,CLB 100%,NA,NA,CLB ,100%,
216,10/24/23,CK14,6,87,OFAV,30.8,0.3,L,20,15,0,TL from predation 1%,NA,NA,NA,NA,
217,10/24/23,CK14,6,88,PAST,26.5,2.75,R,20,15,0,Healthy,NA,NA,Healthy,NA,
218,10/24/23,CK14,6,89,PSTR,12.6,5.4,L,35,30,0,CLB 100%,NA,NA,CLB ,100%,
219,10/24/23,CK14,6,90,PSTR,9.5,7.2,L,20,15,0,CLB 30%; CLP 70%,NA,NA,CLB; CLP ,30;70%,